,source,website,bias
0,ABC News (Online),https://abcnews.go.com,left
1,AlterNet,https://www.alternet.org,left
2,Associated Press,https://apnews.com,center
3,Axios,https://www.axios.com,center
4,BBC News,https://www.bbc.com,center
5,Bloomberg,https://www.bloomberg.com,left
6,Breitbart News,https://www.breitbart.com,right
7,BuzzFeed News,https://www.buzzfeednews.com,left
8,Christian Science Monitor,https://www.csmonitor.com,center
9,CNN (Online News),https://www.cnn.com,left
10,Daily Beast,https://www.thedailybeast.com,left
11,Daily Mail,https://www.dailymail.co.uk,right
12,Democracy Now,https://www.democracynow.org,left
13,Forbes,https://www.forbes.com,center
14,Fox News (Online News),https://www.foxnews.com,right
15,HuffPost,https://www.huffpost.com,left
16,Mother Jones,https://www.motherjones.com,left
17,MSNBC,https://www.msnbc.com,left
18,National Review,https://www.nationalreview.com,right
19,NBC News (Online),https://www.nbcnews.com,left
20,New York Post (News),https://nypost.com,right
21,New York Times (News),https://www.nytimes.com,left
22,NPR (Online News),https://www.npr.org,center
23,NPR (Opinion) ,https://www.npr.org,left
24,Politico,https://www.politico.com,left
25,Reason,https://reason.com,right
26,Reuters,https://www.reuters.com,center
27,Slate,https://slate.com,left
28,The American Spectator,https://spectator.org,right
29,The Atlantic,https://www.theatlantic.com,left
30,The Daily Caller,https://dailycaller.com,right
31,The Daily Wire,https://www.dailywire.com,right
32,The Economist,https://www.economist.com,left
33,The Epoch Times,https://www.theepochtimes.com,right
34,The Federalist,https://thefederalist.com,right
35,The Guardian,https://www.theguardian.com,left
36,The Hill,https://thehill.com,center
37,The Intercept,https://theintercept.com,left
38,The New Yorker,https://www.newyorker.com,left
39,TheBlaze.com,https://www.theblaze.com,right
40,Time Magazine,https://time.com,left
41,USA TODAY,https://www.usatoday.com,left
42,Vox,https://www.vox.com,left
43,Wall Street Journal (News),https://www.wsj.com,center
